tag,count
cl/gcc/clang/mingw,1
"TDD, boost.test/gmock",1
"паттерны проектирования, банда четырех, Алесксандресску",1
pqxx,1
template,1
client-server,1
CEGUI,1
VisualSVN,1
AnkhSvn,1
автоматическая классификация,1
Развитые аналитические способности,1
автоматическое обучение,1
наукоемкое программирование,1
обработка мультиспектральных изображений,1
обработка сигналов,1
обработка сложно организованных данных большого объема,1
разработка сложных алгоритмов,1
распознавание образов,1
теория трансляции,1
высокая работоспособность,1
дисциплинированность,1
TOR,1
Диагностика CAN сетей через ПО CANalyzer,1
stl,1
Directshow,1
Source control,1
Windows 95 - 8.1,1
"Windows CE 5.0, 6.0",1
x86/x64,1
Code Composer Studio,1
Software Engineering,1
C\C++,1
Kernel Debugging,1
Device Drivers,1
Навыки подбора технического персонала и организации его работы,1
libvpx,1
Autodesk Mudbox,1
Stl,1
Навыки работы с офисной техникой,1
Bsd,1
Fedora,1
"Навыки работы с офисными программами (OpenOffice, MicrosoftOffice)",1
Researcher,1
cpp,1
Продвижение бренда,1
Реклама,1
"С++, Qt, OpenCV, OpenGL, распознавание изображений, программирование",1
APU,1
скриптор игровой логики,1
Программирование на MATLAB,1
Опыт работы с 2D- и 3D- графикой,1
Программирование на С++,1
Программирование оконных приложений на Qt,1
Разбор чужого кода и доработка проектов,1
Построение реляционных баз данных,1
R Language,1
G-Code,1
CAM,1
Вычислительная геометрия,1
Теория управления,1
"Опыт пусконаладочных, диагностических и ремонтных работ на объектах",1
Программирование в SCADA,1
Sybase SQL,1
"Программирование на языках высокого уровня (C, Pascal и т.д.)",1
Программирование панелей оператора,1
"Программирование ПЛК (LD, STL и т.д.)",1
Составление иллюстрированной пользовательской документации (инструкции пользователя и т.п.),1
Чтение электрических схем,1
ASP .NET,1
Навыки ведения переговоров и проведения презентаций,1
Code Collaborator,1
cygwin,1
Klocwork,1
"функциональное прог., структурное прог., ООП.",1
IT,1
Codejock Xtreme Toolkit Pro,1
Базовые знания паттернов программирования,1
"Понимание паттернов проектирования, знание основных ( изучение в рамках учебного курса)",1
Dia,1
Open Office,1
1С: CRM ПРОФ,1
MBA,1
Менеджмент организаций,1
Оперативное планирование,1
"RS232, RS485",1
программирование микроконтроллеров STM32,1
Keil MDK Version 5,1
Знание структур данных,1
NVIDIA OpenGL SDK,1
raspbery pi 3,1
embedded software,1
программирование на С++ математических алгоритмов,1
COM-port programming,1
"Multithreading (boost::thread, c++11)",1
nVidia CUDA (basics),1
OGRE3D Engine (OpenGL/DirectX included),1
Sockets (WinSOCK 2.0),1
WinAPI (basics),1
DirectX: DirectDraw,1
Понимание объектно-ориентированного программирования,1
"Знание *nix-систем  (консоль, основные команды, bash)",1
"Знание C, C++, C#, sql",1
Управление командой разработчиков,1
"Практика программирования на С/С++, Pascal",1
разработка тестовых программ и драйверов для встраиваемых систем,1
умение работать в коллективе,1
ANSI C,1
Cross-platform Development,1
MySQL GUI Tools,1
"Базовые навыки HTML,CSS, JavaScript",1
Игровые движки,1
Разработка игрового ПО,1
electronic design,1
Embedded C/C++,1
PCB design,1
T-FLEX,1
Программирование С/С++,1
Qt-SDK,1
Обслуживание ПК,1
Работа с ПК,1
CodeVision AVR,1
Прогнозирование,1
"Кроссплатформенная разработка (Windows, Linux)",1
Стремление к развитию,1
Автоматизация управленческой отчетности,1
"c++,uml,design patterns, умение читать код на разл языках",1
"Linux, Unix/Posix IPC",1
"Знание языков C++, С#",1
понимание принципов ООП,1
Расчетно-кассовое обслуживание физических лиц,1
Расчетно-кассовое обслуживание юридических лиц,1
Составление и заключение договоров,1
Техники продаж,1
C++(STL),1
Monkey X,1
Алгоритмы работы с данными,1
Capital Market,1
Investment Banking,1
Warehouse Management,1
DirectX 9 SDK,1
Калибровка датчиков,1
Написание программ для датчиков,1
Настройка приборов,1
Разработка ПО контроллера,1
Ремонт приборов,1
"Java (Spring data, MVC)",1
Matlab/Octave,1
"статьи в хим. журналах, написание моногр., органический синтез, молекуляр. дизайн, программирование",1
"C++, Delphi, HTML, PHP, JavaScript, MySQL, Structured Text (ST), Ladder Diagram (LD), FBD",1
Кураторство работы сотрудников и контроль качества обслуживания клиентов,1
знание теории баз данных,1
"make,bash",1
Знание регламентирующих банковскую деятельность документов,1
базовые знания в области написания драйверов Linux,1
"базовые знания ядра Linux, на уровне исходников",1
Elastix,1
Программирование C/C++,1
могу разобраться в том что не умею быстро,1
Collective Agreements,1
Corporate Events Organization,1
Financial Controlling,1
"C, C++, Java, Object Pascal, SQL, Intel x86",1
объекно-ориентированное программирование,1
"системы управления версиями: SVN, Mercurial;",1
"средства разработки: Qt, MS Visual Studio, Delphi, Eclipse;",1
"СУБД:  MS SQL Server, PostgreSQL, BDE, Btrieve, Paradox;",1
asm i86,1
HTTP/HTTPS,1
Wininet,1
"синхронизация, потоки, OVERLAPPED",1
