tag,count
Организованность и легкообучаемость,1
Microsoft office,1
Системы безопасности,1
STM32,1
PHPUnit,1
Sas,1
Технические системы и средства безопасности,1
Лидерство,1
Управление продажами,1
Средства криптографической защиты информации,1
Активные продажи,1
построение защищенных сетей,1
Подбор персонала,1
Selenium WebDriver,1
Делопроизводство,1
Rabit,1
"базовые знания UNIX, Windows",1
Умение читать и анализировать чужой код,1
Программирование на Python,1
Comsol Multiphysics,1
Любитель рисовать UML-диаграммы,1
Базовые знания Python,1
"Программирование на c# и python,разработка android приложений на java,базовое знание html,javascript",1
"Быстро обучаюсь, если потребуется",1
Keil,1
WSGI,1
Люблю узнавать что-то новое,1
Копирайтинг,1
Написание статей,1
Написание текстов,1
"HTML, CSS, Javascript",1
Настойчивость,1
Энергичность,1
Самостоятельность,1
Altium Designer,1
основы assembler,1
Теория Игр,1
Управление запасами,1
Кооперативные игры,1
Системный анализ,1
Pyqt,1
Erlang/Elixir,1
Администрирование,1
Понимание алгоритмов и структур данных,1
Умение работать в Django,1
Scrapy Framework,1
Symfony,1
"установка, настройка, администрирование 1С ERP",1
wix,1
Xquery,1
Обеспечение антивирусной защиты,1
Настройка серверов Apache,1
TelegramBotApi,1
"Быстрая обучаемость, высокая мотивация",1
"linux работа в терминале, по SSH",1
python3.7 ООП средний уровень,1
Spark AR,1
Саморазвитие,1
Знание JS,1
генератор,1
Програ,1
Telegram Bot API,1
SEO оптимизация,1
Яндекс.Карты API,1
OS X,1
Fedora,1
Опытный пользователь ПК,1
Apache + mod_wsgi,1
QML,1
Работа в Linux Ubuntu,1
итератор,1
Торговля,1
Язык R,1
SKLearn,1
Биоинженерия,1
Биология,1
Адаптация трейд-маркетинговой стратегии,1
SMM,1
Таргетинг,1
Google Excel,1
Легко обучаем,1
Пишу ботов для Telegram,1
tmux,1
Начало карьеры,1
Биоинформатика,1
MapReduce,1
Дорвеи,1
Коммуникативность,1
Аналитические способности,1
владение ПК,1
Cefsharp,1
Python 3.x,1
Английский язык pre intermediate,1
Surefire,1
Unix Shell Scripts,1
LibreOffice,1
Allure,1
TestNG,1
postman,1
Genie,1
Adobe Genie,1
Внутренние коммуникации,1
владение английским языком (уровень Intermediate),1
unittest,1
R (programming language),1
IDA / ollyDbg,1
pip,1
владение MS Office,1
Знание базы ООП,1
Знание алгоритмов и структур данных,1
iOS,1
Опыт создания парсеров,1
Doorway,1
Презентация проектов,1
Декоратор,1
Опыт тестирования,1
Настройка ПО,1
scikit learn,1
Django-rest framework,1
"Databases: MySQL, SQLite3, PostgreSQL",1
1С: Управление Торговлей,1
Знание Python 3,1
Python 3.7,1
pyQt5,1
Скелетная анимация,1
Trading,1
Deploy,1
Трёхмерное моделирование персонажей и окружения,1
Владение Cinema 4D,1
Владение Zbrush,1
tornado,1
Deployment: Docker,1
Version control system: Git,1
nltk,1
Владение Substance Painter,1
"Data Mining: Beautiful Soup 4, Selenium",1
Владение Unreal engine,1
Владение Speed Tree,1
OpenCart,1
"Front-End: Bootstrap 4, CSS, HTML5",1
"Back-End: Django, Django Rest Framework",1
Владение Meshroom,1
Знание C++,1
Настройка DNS,1
Анализ рисков,1
Знание C#,1
Ассе́мблер,1
IDA,1
radare2,1
SAT/SMT-solvers,1
gamedev,1
Преподаватель,1
ОС Windows,1
Знание иностранных языков,1
основы программирования,1
Деловая этика,1
Python/Django,1
drf,1
PyCharm IDE,1
Администрирование сети и компьютеров,1
"Python, R, SQL, Excel, bash",1
Ruby nad Rails,1
SQL Alchemy,1
CentOS,1
Знание OS Windows,1
Ведение переписки,1
PySide,1
Iron Python,1
понимание модели OSI,1
Перевод,1
pwntools,1
angr,1
make,1
базовые знания стека протоколов TCP/IP,1
gdb,1
Chai,1
Mocha,1
Умею пользоваться PyCharm,1
LOGO!SoftComfort,1
Блочная верстка,1
Google Docs,1
базовые знания Django,1
базовые знания Python 3.x,1
Start-up  project,1
Apache Tomcat,1
базовые знания JS,1
"начальные знания php, c++",1
jade,1
heroku,1
virtualenv,1
Автоматизация процессов управления персоналом,1
Software,1
Jetbrains Phpstorm,1
Terminal,1
Https,1
Solid,1
Ansi C++,1
Software Development,1
База данных: MySQL,1
CQL,1
Python 2.X,1
GraphQL,1
pixelmator pro,1
Написание научных статей,1
Data Mining: Business Analytica,1
React Native,1
imaplib,1
Yii,1
авантюризм,1
PayPal API,1
Разработка терминалов для бронирования отелей.Создание сайтов и приложений.,1
Быстро учусь,1
Stripe API,1
Tenserflow,1
Разработка технических заданий,1
Тестирование пользовательского интерфейса,1
Vagrant,1
Java Database,1
Pandas(Python),1
Находчивость,1
Решение проблем,1
Знание основ ООП,1
Программирование микроконтроллеров,1
Virtualization,1
Умение работать с API,1
React.js,1
1С: Бухгалтерия и склад,1
Индивидуальное обучение,1
Групповое обучение,1
Энтузиазм,1
Заинтересованность,1
"Обучаемость, трудолюбивость, вовлеченность.",1
терпеливость,1
постоянное желание изучать что-то,1
Python 3.X,1
Умение находить нестандартные решения,1
MERN,1
Даже с coreDRAW работал.,1
plotly,1
Team work,1
Work with a large amount of information,1
Базовые знания Python (в процессе изучения),1
Базовые знания QT,1
Compass 3D,1
Знание STL,1
Regex,1
Знание C/C++,1
Polish,1
Math,1
Линейная алгебра,1
умный,1
Python/Scrapy,1
Веб-разработка,1
Веб-дизайн,1
VB,1
1C,1
PINE,1
PyCharm/Sublime2,1
Tornado Web Server/framework,1
MQL,1
Selenium WebDriber,1
ChatBot,1
node.js express framework,1
Python 2.7,1
skimage,1
Zoom,1
Slack,1
Virtualbox,1
G-code,1
Чат боты,1
Gui,1
Beta-тестирования,1
Entity Framework,1
email,1
odoo10,1
Разрабатывала шаблоны на фреймворке Django.,1
Ознакомлена с основами ООП.,1
back-end,1
Embarcadero Delphi,1
Изучила основы работы с XML и HTML.,1
Трудоспособность,1
"Django,Django Rest Framework,GIT,",1
Знаю синтаксис языка и основные алгоритмы программирования.,1
Tornado,1
PowerBI,1
Основная ОС - Linux,1
В процессе изучения разработка приложений под Android,1
Упорство,1
"Знание языков C/C++, Python",1
"Github, gitlab",1
Базовые знания SDL,1
Базовые знания OpenGL,1
Linux системы,1
Prestashop,1
Коммуникабельный,1
Конкурентная аналитика,1
DFD,1
Simulink,1
Adobe Acrobat,1
Openpyxl,1
matplot,1
Phyton,1
Основные алгоритмы и структуры данных,1
pyTelegramBotApi,1
Linux(базовые знания),1
socket,1
Сообразительность,1
CPython,1
marshmallow,1
"shelve, pickle",1
pyserial,1
знаком с asyncio,1
Терпеливость,1
Самодостаточность,1
CI,1
Технический английский,1
Business English,1
Technical English,1
Нереляционные базы данных,1
srs,1
Telegram APIs / API Вконтакте,1
AIOHTTP,1
Poetry,1
Simatic WinCC flexible,1
SIMATIC STEP 7,1
LabVIEW,1
Web technologies,1
Интеллектуальный анализ данных,1
RSLogix 5000,1
BeatifulSoup,1
GCP,1
Jupyter,1
Реинжиниринг бизнес-процессов,1
Use Case Analysis,1
Базовое знание Python,1
SSL,1
iso/osi,1
Локальные сети,1
TelegramAPI,1
PyQT5,1
Simple-JWT,1
python-telegram-bot,1
TDD,1
NetworkX,1
Hardware engineer,1
arduino,1
Кроссбраузерная верстка,1
Кроссплатформенная верстка,1
