"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 1989","4.69","4.69","4.88","4.50","163.33K","4.22%"
"Aug 27, 1989","4.50","4.50","4.69","4.31","96.27K","-4.05%"
"Aug 20, 1989","4.69","4.69","4.69","4.31","275.13K","4.22%"
"Aug 13, 1989","4.50","4.50","4.50","4.12","203.60K","0.00%"
"Aug 06, 1989","4.50","4.50","4.69","3.94","555.93K","9.22%"
"Jul 30, 1989","4.12","4.12","4.50","3.38","526.60K","4.57%"
"Jul 23, 1989","3.94","3.94","4.12","3.56","156.73K","-4.37%"
"Jul 16, 1989","4.12","4.12","4.69","3.94","252.93K","-12.15%"
"Jul 09, 1989","4.69","4.69","5.06","3.75","414.80K","8.82%"
"Jul 02, 1989","4.31","4.31","4.69","4.12","113.80K","-8.10%"
"Jun 25, 1989","4.69","4.69","4.69","4.31","465.20K","0.00%"
"Jun 18, 1989","4.69","4.69","5.06","4.69","299.20K","-3.89%"
"Jun 11, 1989","4.88","4.88","5.44","4.69","474.00K","-3.56%"
"Jun 04, 1989","5.06","5.06","5.44","4.69","216.13K","-6.99%"
"May 28, 1989","5.44","5.44","6.19","5.06","259.67K","-9.33%"
"May 21, 1989","6.00","6.00","6.75","5.81","290.67K","-8.54%"
"May 14, 1989","6.56","6.56","7.12","6.38","178.27K","-5.48%"
"May 07, 1989","6.94","6.94","7.12","6.38","541.60K","0.00%"
"Apr 30, 1989","6.94","6.94","7.12","6.00","1.01M","8.78%"
"Apr 23, 1989","6.38","6.38","6.94","6.19","460.67K","-5.48%"
"Apr 16, 1989","6.75","6.75","6.94","6.56","278.40K","-2.74%"
"Apr 09, 1989","6.94","6.94","7.12","6.38","395.53K","5.79%"
"Apr 02, 1989","6.56","6.56","6.94","6.56","283.07K","-5.48%"
"Mar 26, 1989","6.94","6.94","7.31","6.19","765.87K","12.12%"
"Mar 19, 1989","6.19","6.19","6.38","5.81","244.93K","6.54%"
"Mar 12, 1989","5.81","5.81","6.56","5.81","180.13K","-11.43%"
"Mar 05, 1989","6.56","6.56","6.94","5.62","824.20K","12.91%"
"Feb 26, 1989","5.81","5.81","5.81","5.62","240.80K","0.00%"
"Feb 19, 1989","5.81","5.81","6.00","5.62","283.13K","-3.17%"
"Feb 12, 1989","6.00","6.00","6.19","5.62","571.73K","-3.07%"
"Feb 05, 1989","6.19","6.19","7.31","6.00","570.13K","-15.32%"
"Jan 29, 1989","7.31","7.31","8.06","6.75","838.33K","2.67%"
"Jan 22, 1989","7.12","7.12","7.50","6.94","217.53K","-5.07%"
"Jan 15, 1989","7.50","7.50","7.50","7.12","215.13K","0.00%"
"Jan 08, 1989","7.50","7.50","7.69","7.31","299.60K","0.00%"
"Jan 01, 1989","7.50","7.50","8.06","7.31","236.53K","-6.95%"
"Dec 25, 1988","8.06","8.06","8.25","7.69","378.27K","2.28%"
"Dec 18, 1988","7.88","7.88","8.06","7.12","864.80K","5.07%"
"Dec 11, 1988","7.50","7.50","7.88","7.31","602.20K","0.00%"
"Dec 04, 1988","7.50","7.50","7.69","7.12","504.13K","-4.82%"
"Nov 27, 1988","7.88","7.88","8.06","7.50","291.73K","-2.23%"
"Nov 20, 1988","8.06","8.06","8.06","7.31","216.87K","0.00%"
"Nov 13, 1988","8.06","8.06","9.00","7.69","253.53K","-10.44%"
"Nov 06, 1988","9.00","9.00","9.38","7.88","398.27K","14.21%"
"Oct 30, 1988","7.88","7.88","9.56","7.69","1.00M","-19.18%"
"Oct 23, 1988","9.75","9.75","10.50","9.75","568.87K","-7.14%"
"Oct 16, 1988","10.50","10.50","11.06","9.75","667.93K","-5.06%"
"Oct 09, 1988","11.06","11.06","11.81","9.38","1.46M","-6.35%"
"Oct 02, 1988","11.81","11.81","12.75","10.12","945.73K","-3.12%"
"Sep 25, 1988","12.19","12.19","13.31","12.19","309.00K","-7.09%"
"Sep 18, 1988","13.12","13.12","14.44","12.56","472.67K","-7.93%"
"Sep 11, 1988","14.25","14.25","15.19","12.56","809.87K","-5.00%"
"Sep 04, 1988","15.00","15.00","15.38","14.62","294.47K","2.60%"
"Aug 28, 1988","14.62","14.62","15.56","13.88","333.67K","-1.28%"
"Aug 21, 1988","14.81","14.81","15.00","14.62","433.20K","-1.27%"
"Aug 14, 1988","15.00","15.00","15.75","14.44","628.20K","-1.25%"
"Aug 07, 1988","15.19","15.19","15.38","14.81","174.80K","0.00%"
"Jul 31, 1988","15.19","15.19","15.94","14.81","287.40K","-2.38%"
"Jul 24, 1988","15.56","15.56","15.75","14.62","223.67K","0.00%"
"Jul 17, 1988","15.56","15.56","15.94","14.62","241.80K","0.00%"
"Jul 10, 1988","15.56","15.56","18.38","15.38","572.67K","-10.78%"
"Jul 03, 1988","17.44","17.44","17.62","15.38","427.33K","12.08%"
"Jun 26, 1988","15.56","15.56","15.56","14.62","378.13K","1.17%"
"Jun 19, 1988","15.38","15.38","16.12","13.69","708.80K","1.25%"
"Jun 12, 1988","15.19","15.19","16.50","15.00","678.20K","-7.94%"
"Jun 05, 1988","16.50","16.50","17.25","15.56","434.53K","1.16%"
"May 29, 1988","16.31","16.31","17.81","16.31","514.33K","-3.38%"
"May 22, 1988","16.88","16.88","19.69","16.88","1.20M","-8.16%"
"May 15, 1988","18.38","18.38","21.94","18.00","948.60K","-15.49%"
"May 08, 1988","21.75","21.75","22.50","20.06","1.42M","3.57%"
"May 01, 1988","21.00","21.00","22.12","18.38","1.51M","13.15%"
"Apr 24, 1988","18.56","18.56","19.69","17.62","833.47K","4.21%"
"Apr 17, 1988","17.81","17.81","18.19","16.31","502.73K","2.12%"
"Apr 10, 1988","17.44","17.44","18.38","16.31","453.20K","-3.11%"
"Apr 03, 1988","18.00","18.00","19.12","17.62","208.53K","-5.86%"
"Mar 27, 1988","19.12","19.12","19.69","18.38","330.33K","1.97%"
"Mar 20, 1988","18.75","18.75","20.25","18.38","411.07K","-2.90%"
"Mar 13, 1988","19.31","19.31","20.44","18.94","590.73K","-2.87%"
"Mar 06, 1988","19.88","19.88","21.00","18.19","741.47K","7.11%"
"Feb 28, 1988","18.56","18.56","19.31","17.44","542.47K","5.33%"
"Feb 21, 1988","17.62","17.62","18.19","15.56","675.53K","11.87%"
"Feb 14, 1988","15.75","15.75","15.75","14.81","291.47K","3.69%"
"Feb 07, 1988","15.19","15.19","16.31","14.62","296.13K","-2.38%"
"Jan 31, 1988","15.56","15.56","16.50","15.38","248.07K","-3.47%"
"Jan 24, 1988","16.12","16.12","16.69","15.38","217.33K","0.00%"
"Jan 17, 1988","16.12","16.12","16.12","15.19","211.73K","1.13%"
"Jan 10, 1988","15.94","15.94","16.88","15.19","549.40K","0.00%"
"Jan 03, 1988","15.94","15.94","18.38","12.75","1.31M","25.02%"
"Dec 27, 1987","12.75","12.75","13.31","12.19","338.00K","-1.47%"
"Dec 20, 1987","12.94","12.94","13.31","11.62","327.67K","6.15%"
"Dec 13, 1987","12.19","12.19","13.31","11.81","444.73K","0.00%"
"Dec 06, 1987","12.19","12.19","12.94","11.44","325.47K","1.58%"
"Nov 29, 1987","12.00","12.00","13.88","11.62","410.33K","-15.79%"
"Nov 22, 1987","14.25","14.25","14.44","12.75","408.67K","10.12%"
"Nov 15, 1987","12.94","12.94","15.00","12.19","887.07K","-10.39%"
"Nov 08, 1987","14.44","14.44","14.62","11.81","632.13K","6.96%"
"Nov 01, 1987","13.50","13.50","15.00","13.12","431.87K","1.43%"
"Oct 25, 1987","13.31","13.31","14.25","9.75","694.60K","12.70%"
"Oct 18, 1987","11.81","11.81","18.19","8.62","1.77M","-38.23%"
"Oct 11, 1987","19.12","19.12","25.88","19.12","494.47K","-26.63%"
"Oct 04, 1987","26.06","26.06","28.69","25.88","377.33K","-5.44%"
"Sep 27, 1987","27.56","27.56","27.94","25.12","613.07K","2.80%"
"Sep 20, 1987","26.81","26.81","27.00","25.12","498.33K","2.13%"
"Sep 13, 1987","26.25","26.25","26.44","24.38","1.21M","7.67%"
"Sep 06, 1987","24.38","24.38","24.94","22.69","500.67K","7.45%"
"Aug 30, 1987","22.69","22.69","23.81","22.31","419.47K","1.70%"
"Aug 23, 1987","22.31","22.31","22.69","21.75","626.53K","-1.67%"
"Aug 16, 1987","22.69","22.69","22.88","21.56","241.07K","4.32%"
"Aug 09, 1987","21.75","21.75","22.69","21.56","220.53K","-2.51%"
"Aug 02, 1987","22.31","22.31","23.25","21.19","305.20K","-3.25%"
"Jul 26, 1987","23.06","23.06","24.38","22.88","327.07K","-5.41%"
"Jul 19, 1987","24.38","24.38","25.12","22.88","490.80K","6.56%"
"Jul 12, 1987","22.88","22.88","23.81","22.31","214.80K","0.00%"
"Jul 05, 1987","22.88","22.88","23.44","21.19","349.40K","5.20%"
"Jun 28, 1987","21.75","21.75","22.50","21.38","172.00K","-2.51%"
"Jun 21, 1987","22.31","22.31","24.56","21.56","473.93K","-4.04%"
"Jun 14, 1987","23.25","23.25","23.81","22.31","166.00K","1.62%"
"Jun 07, 1987","22.88","22.88","23.06","21.38","198.80K","4.28%"
"May 31, 1987","21.94","21.94","23.62","21.38","192.47K","-6.40%"
"May 24, 1987","23.44","23.44","23.81","21.94","146.67K","6.84%"
"May 17, 1987","21.94","21.94","23.44","21.94","341.67K","-5.63%"
"May 10, 1987","23.25","23.25","24.56","22.50","316.93K","3.33%"
"May 03, 1987","22.50","22.50","23.62","21.56","273.47K","-3.23%"
"Apr 26, 1987","23.25","23.25","24.00","22.50","267.87K","0.82%"
"Apr 19, 1987","23.06","23.06","26.44","22.88","316.87K","-12.15%"
"Apr 12, 1987","26.25","26.25","28.88","25.50","234.60K","-1.39%"
"Apr 05, 1987","26.62","26.62","28.50","26.25","262.80K","-5.33%"
"Mar 29, 1987","28.12","28.12","30.00","25.88","1.27M","-1.33%"
"Mar 22, 1987","28.50","28.50","29.62","25.69","853.87K","10.12%"
"Mar 15, 1987","25.88","25.88","26.62","24.56","475.27K","4.57%"
"Mar 08, 1987","24.75","24.75","26.44","24.19","409.67K","1.52%"
"Mar 01, 1987","24.38","24.38","24.94","23.25","554.80K","0.00%"
"Feb 22, 1987","24.38","24.38","25.50","23.25","435.93K","-5.10%"
"Feb 15, 1987","25.69","25.69","26.81","25.50","251.07K","0.75%"
"Feb 08, 1987","25.50","25.50","27.75","25.31","208.40K","-6.87%"
"Feb 01, 1987","27.38","27.38","29.25","26.62","476.87K","-3.93%"
"Jan 25, 1987","28.50","28.50","29.25","25.50","347.20K","7.79%"
"Jan 18, 1987","26.44","26.44","27.56","26.25","293.13K","0.00%"
"Jan 11, 1987","26.44","26.44","28.12","26.25","198.13K","-4.06%"
"Jan 04, 1987","27.56","27.56","27.94","26.25","371.53K","4.24%"
"Dec 28, 1986","26.44","26.44","27.75","25.69","344.33K","-4.72%"
"Dec 21, 1986","27.75","27.75","29.06","27.19","325.20K","-5.13%"
"Dec 14, 1986","29.25","29.25","31.31","28.31","440.53K","-3.11%"
"Dec 07, 1986","30.19","30.19","31.88","29.81","245.67K","-2.42%"
"Nov 30, 1986","30.94","30.94","33.38","30.00","454.27K","-2.37%"
"Nov 23, 1986","31.69","31.69","32.06","28.12","654.13K","4.31%"
"Nov 16, 1986","30.38","30.38","36.00","27.00","1.22M","-16.49%"
"Nov 09, 1986","36.38","36.38","36.94","34.69","937.33K","-1.99%"
"Nov 02, 1986","37.12","37.12","37.50","35.06","778.87K","0.49%"
"Oct 26, 1986","36.94","36.94","39.38","34.88","1.43M","5.91%"
"Oct 19, 1986","34.88","34.88","35.62","32.62","450.40K","-6.99%"
"Oct 12, 1986","37.50","37.50","38.25","36.56","787.60K","0.00%"
"Oct 05, 1986","37.50","37.50","37.50","34.69","623.67K","5.28%"
"Sep 28, 1986","35.62","35.62","36.00","32.62","621.60K","4.40%"
"Sep 21, 1986","34.12","34.12","35.06","30.38","638.87K","6.43%"
"Sep 14, 1986","32.06","32.06","32.25","27.00","870.67K","14.75%"
"Sep 07, 1986","27.94","27.94","30.19","25.12","529.47K","-7.45%"
"Aug 31, 1986","30.19","30.19","31.50","27.75","570.53K","5.93%"
"Aug 24, 1986","28.50","28.50","29.44","27.75","372.73K","3.41%"
"Aug 17, 1986","27.56","27.56","28.12","26.81","346.60K","3.53%"
"Aug 10, 1986","26.62","26.62","27.19","23.25","389.20K","14.49%"
"Aug 03, 1986","23.25","23.25","25.31","22.50","311.53K","-7.44%"
"Jul 27, 1986","25.12","25.12","26.62","21.56","442.93K","4.67%"
"Jul 20, 1986","24.00","24.00","27.19","23.44","381.07K","-12.34%"
"Jul 13, 1986","27.38","27.38","30.94","25.50","825.47K","-12.02%"
"Jul 06, 1986","31.12","31.12","34.50","30.00","347.47K","-9.80%"
"Jun 29, 1986","34.50","34.50","36.38","33.75","276.60K","-5.63%"
"Jun 22, 1986","36.56","36.56","37.50","35.44","184.27K","1.56%"
"Jun 15, 1986","36.00","36.00","40.12","36.00","584.33K","-4.00%"
"Jun 08, 1986","37.50","37.50","38.25","34.88","467.60K","5.81%"
"Jun 01, 1986","35.44","35.44","35.81","33.00","445.27K","-0.51%"
"May 25, 1986","35.62","35.62","35.62","34.12","334.27K","0.00%"
"May 18, 1986","35.62","35.62","36.38","34.88","302.33K","-0.53%"
"May 11, 1986","35.81","35.81","36.75","35.06","393.47K","0.00%"
"May 04, 1986","35.81","35.81","39.94","35.25","400.80K","-8.62%"
"Apr 27, 1986","39.19","39.19","40.50","39.00","196.87K","-2.32%"
"Apr 20, 1986","40.12","40.12","41.44","39.19","226.80K","-2.74%"
"Apr 13, 1986","41.25","41.25","41.62","38.62","179.60K","2.33%"
"Apr 06, 1986","40.31","40.31","42.75","39.38","497.33K","0.47%"
"Mar 30, 1986","40.12","40.12","42.38","39.00","494.80K","-2.29%"
"Mar 23, 1986","41.06","41.06","41.62","39.56","363.07K","2.34%"
"Mar 16, 1986","40.12","40.12","42.75","39.38","369.33K","-3.19%"
"Mar 09, 1986","41.44","41.44","41.62","35.25","895.60K","17.56%"
"Mar 02, 1986","35.25","35.25","38.25","35.25","357.13K","-4.08%"
"Feb 23, 1986","36.75","36.75","37.12","34.50","400.47K","5.36%"
"Feb 16, 1986","34.88","34.88","35.62","32.25","552.53K","1.66%"
"Feb 09, 1986","34.31","34.31","37.31","33.94","545.67K","-8.04%"
"Feb 02, 1986","37.31","37.31","39.00","37.12","196.27K","0.00%"
"Jan 26, 1986","37.31","37.31","37.88","36.75","376.00K","0.00%"
"Jan 19, 1986","37.31","37.31","39.75","36.00","784.40K","-6.14%"
"Jan 12, 1986","39.75","39.75","40.88","39.56","172.47K","0.00%"
"Jan 05, 1986","39.75","39.75","41.62","37.88","241.53K","-2.76%"
"Dec 29, 1985","40.88","40.88","41.44","39.75","160.60K","2.84%"
"Dec 22, 1985","39.75","39.75","40.12","38.44","99.33K","-1.39%"
"Dec 15, 1985","40.31","40.31","42.56","39.94","312.20K","-5.71%"
"Dec 08, 1985","42.75","42.75","42.94","38.62","669.07K","5.56%"
"Dec 01, 1985","40.50","40.50","42.75","40.12","306.93K","-2.27%"
"Nov 24, 1985","41.44","41.44","42.56","40.50","138.07K","-3.06%"
"Nov 17, 1985","42.75","42.75","43.12","39.38","396.93K","7.55%"
"Nov 10, 1985","39.75","39.75","40.69","37.31","380.00K","6.00%"
"Nov 03, 1985","37.50","37.50","39.75","36.19","367.40K","-5.66%"
"Oct 27, 1985","39.75","39.75","39.75","35.06","557.13K","9.26%"
"Oct 20, 1985","36.38","36.38","37.88","35.44","289.93K","-3.96%"
"Oct 13, 1985","37.88","37.88","38.62","33.94","549.87K","11.02%"
"Oct 06, 1985","34.12","34.12","34.12","32.25","188.07K","0.53%"
"Sep 29, 1985","33.94","33.94","34.88","32.62","184.73K","1.68%"
"Sep 22, 1985","33.38","33.38","35.44","32.62","128.87K","-2.71%"
